role_id,masco_code,role_title,original_inventory,core_candidates,approved_core_candidates,conditional_skills,empty_digital_band,mapping_confidence,mapping_relation,mapping_approval,status
M112104,112104,Chief Technical Officer,83,22,22,61,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121104,121104,Budget Manager,44,28,28,16,True,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121106,121106,Audit and Risk Management Manager,47,27,0,20,True,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M121107,121107,Credit Manager,49,27,27,22,True,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121108,121108,Insurance Manager,63,35,35,28,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121109,121109,Fund Manager,57,30,30,27,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121114,121114,Tax Manager,42,17,17,25,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121115,121115,Claim Manager,41,23,23,18,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121123,121123,Actuarial Valuation Manager,35,14,14,21,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121205,121205,Occupational Safety and Health Manager,67,40,40,27,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121411,121411,Supply Chain Manager,99,23,23,76,False,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M121416,121416,Technology Manager,41,18,18,23,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M122301,122301,Research and Development Manager,82,28,28,54,True,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M131102,131102,Forestry Manager,43,20,20,23,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M131106,131106,Agricultural Manager,37,15,15,22,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M131111,131111,Veterinary Manager,20,19,0,1,True,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M131114,131114,"Field Manager, Grass",88,41,0,47,False,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M131202,131202,"Production and Operation Manager, Fishery",63,39,0,24,False,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M131203,131203,Aquaculture Production Manager,63,39,39,24,False,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132101,132101,Manufacturing Manager,82,21,21,61,False,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132102,132102,"Production and Operation Manager, Manufacturing",35,19,19,16,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132104,132104,Electrical Manager,57,27,0,30,False,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M132105,132105,Energy Manager,66,40,40,26,True,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132108,132108,Ship Hull Manager,35,19,19,16,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132109,132109,Mechanical Manager,82,21,0,61,False,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M132110,132110,Welding Manager,50,22,22,28,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132111,132111,Oil Mill Manager,53,31,31,22,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132112,132112,"Manager, Halal Food Manufacturing",53,31,31,22,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132126,132126,Power Generation Plant Manager,50,26,26,24,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132201,132201,"Production and Operation Manager, Mine",31,22,22,9,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132203,132203,"Production and Operation Manager, Oil and Gas Extraction",39,21,21,18,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132207,132207,Offshore Installation Manager,39,21,21,18,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132210,132210,"Manager, Metallurgy",25,13,13,12,True,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132301,132301,Construction Manager,56,27,27,29,True,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132310,132310,Building and Architecture Manager,56,27,27,29,True,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132311,132311,Land Surveyor Manager,53,27,27,26,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132401,132401,Railway Station Master,23,22,22,1,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132402,132402,Transport Manager,32,30,30,2,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132405,132405,Logistics Manager,46,34,34,12,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132414,132414,Shipping Manager,46,34,34,12,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M132416,132416,"Manager, Halal Logistics Operation",46,34,34,12,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151101,151101,Chief Information Officer,89,23,23,66,False,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151102,151102,Chief data officer,61,16,16,45,False,high,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151103,151103,Chief Information Security Officer,81,47,47,34,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151106,151106,Information Systems Manager,41,18,18,23,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151108,151108,Village Community Center Manager,41,18,0,23,False,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M151112,151112,Application Development Manager,48,23,23,25,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151113,151113,Data Operations Manager,41,18,18,23,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151116,151116,Internet Service Provider,27,10,10,17,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151117,151117,Network Manager,41,18,18,23,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151119,151119,Audio Visual Manager,10,9,0,1,True,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M151122,151122,Information Technology Project Manager,71,26,26,45,False,medium,close_match,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151123,151123,Information Technology Infrastructure Manager,41,18,18,23,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151124,151124,Information Technology Programme Manager,71,26,0,45,False,low,partial_proxy,pending_low_confidence_review,Low Confidence; Requirements Held Out for Review
M151127,151127,Bioinformatics Manager,84,56,56,28,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151128,151128,Creative Multimedia Manager,39,18,18,21,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
M151130,151130,Network Operations Manager,41,18,18,23,False,medium,broader_proxy,auto_approved_medium_or_high_test_mapping,User-Authorized Test Core Candidates; Not Exact MASCO-ESCO Equivalence
