role_id,role_title,masco_2020_code,masco_2020_title,isco08_unit_group,esco_code,esco_title,onet_soc_2019_code,onet_soc_2019_title,masco_to_esco_method,esco_to_onet_method,crosswalk_review_status
R01,Software Developer,2512,Software Developers,2512,2512.4,software developer,15-1252.00,Software Developers,shared unit-group code and title alignment,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R02,Data Analyst,2524,Data Professionals,2511,2511.3,data analyst,15-2051.01,Business Intelligence Analysts,title-level alignment; MASCO 2020 national code differs from ISCO-08/ESCO,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R03,Human Resources Officer,2423,Personnel and Career Professionals,2423,2423.3,human resources officer,13-1071.00,Human Resources Specialists,shared unit-group code and title alignment,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R04,Online Marketing Specialist,2431,Advertising and Marketing Professionals,2431,2431.10.4,online marketer,13-1161.01,Search Marketing Strategists,shared unit-group code and title alignment,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R05,Translator,2833,"Translators, Interpreters and Other Linguists",2643,2643.6,translator,27-3091.00,Interpreters and Translators,title-level alignment; MASCO 2020 national code differs from ISCO-08/ESCO,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R06,Graphic Designer,2543,Creative Content Designers Professionals,2166,2166.9,graphic designer,27-1024.00,Graphic Designers,title-level alignment; MASCO 2020 national code differs from ISCO-08/ESCO,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R07,Accounting & Bookkeeping Clerk,4311,Accounting and Book-Keeping Clerks,4311,4311.1,billing clerk,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",shared unit-group code and title alignment,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R08,Customer Contact Centre Officer,4222,Contact Centre Information Clerks,4222,4222.1,customer contact centre information clerk,43-4051.00,Customer Service Representatives,shared unit-group code and title alignment,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R09,Secretary / Administrative Assistant,4121,Secretaries (General),4120,4120.1,secretary,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",title-level alignment; MASCO 2020 national code differs from ISCO-08/ESCO,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
R10,Tutor,2311,University and Higher Education Teaching Professionals,2359,2359.14,tutor,25-3041.00,Tutors,title-level alignment; MASCO 2020 national code differs from ISCO-08/ESCO,exact published row in the official O*NET Resource Center crosswalk,source_verified; MASCO title alignment requires second reviewer
