"source_current_role_id","source_current_masco_code","source_current_role_title","masco2020_role_id","masco2020_code","masco2020_title","status","remap_method","remap_confidence","reason","primary_profile_for_target","source_count_for_target","target_count_for_source","source_esco_code","source_esco_title","source_portal_url","masco2020_pdf_page","masco2020_source_url","grade_source_url","alternative_2020_code","official_crosswalk"
"M111201","111201","Senior Government Officials","","","","excluded","aggregate_no_unique_2020_identity","not_established","Current row is the broad Senior Government Officials category, while 2020 six-digit entries identify specific offices. Do not substitute the Keeper of the Rulers Seal or arbitrarily expand all offices.","false","0","0","1112.6","public administration manager","https://emasco.mohr.gov.my/masco/1112-01","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M121111","121111","Transfer Pricing Manager","","","","excluded","no_verified_2020_equivalent","not_established","Transfer Pricing Consultant exists in 2020, but no equivalent managerial occupation was verified; a consultant is not silently substituted for a manager.","false","0","0","2411.1.12","tax advisor","https://emasco.mohr.gov.my/masco/1211-11","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M121409","121409","Chief Business Officer","","","","excluded","no_verified_2020_equivalent","not_established","No Chief Business Officer entry or unambiguous same-level identity was verified; CEO and compliance officer are different roles.","false","0","0","1120.3","chief executive officer","https://emasco.mohr.gov.my/masco/1214-09","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M214108","214108","Industrial and Production Technologist","","","","excluded","aggregate_no_unique_2020_identity","not_established","Current row combines many manufacturing/material technologist specialties. The 2020 petroleum Production Technologist is not an equivalent manufacturing-wide occupation.","false","0","0","2141.4.2","production engineer","https://emasco.mohr.gov.my/masco/2141-08","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M214408","214408","Mine Ventilation Engineer","","","","excluded","no_verified_2020_equivalent","not_established","No mine-ventilation-engineering entry verified; a general HVAC engineer would not establish this mining specialty.","false","0","0","2144.1.13","mine ventilation engineer","https://emasco.mohr.gov.my/masco/2144-08","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M214911","214911","Nano Engineer","","","","excluded","no_verified_2020_equivalent","not_established","No Nano Engineer/nanotechnology-engineering occupation verified in the 2020 index.","false","0","0","2149.11.1","nanoengineer","https://emasco.mohr.gov.my/masco/2149-11","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M218207","218207","Product Development Executive","","","","excluded","no_verified_2020_equivalent","not_established","Product Development Executive is not the same as the printed Production Executive or Product Development Engineer.","false","0","0","1223.2.1","product development manager","https://emasco.mohr.gov.my/masco/2182-07","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M226310","226310","Ergonomist","","","","excluded","no_verified_2020_equivalent","not_established","No Ergonomist identity verified; related health/safety occupations are not sufficient to establish the same six-digit role.","false","0","0","2263.3.1","ergonomist","https://emasco.mohr.gov.my/masco/2263-10","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M311110","311110","Slope Monitoring Technician","","","","excluded","no_verified_2020_equivalent","not_established","No Slope Monitoring Technician identity verified; general geological or soil technicians are only broader candidates.","false","0","0","3117.2","geotechnician","https://emasco.mohr.gov.my/masco/3111-10","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M311519","311519","Pneumatic Supervisor","","","","excluded","no_verified_2020_equivalent","not_established","No Pneumatic Supervisor identity verified; general mechanical supervisors are not the same identified role.","false","0","0","3115.1.15","pneumatic engineering technician","https://emasco.mohr.gov.my/masco/3115-19","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
