"source_current_role_id","source_current_masco_code","source_current_role_title","masco2020_role_id","masco2020_code","masco2020_title","status","remap_method","remap_confidence","reason","primary_profile_for_target","source_count_for_target","target_count_for_source","source_esco_code","source_esco_title","source_portal_url","masco2020_pdf_page","masco2020_source_url","grade_source_url","alternative_2020_code","official_crosswalk"
"M111201","111201","Senior Government Officials","","","","excluded","aggregate_no_unique_2020_identity","not_established","Current row is the broad Senior Government Officials category, while 2020 six-digit entries identify specific offices. Do not substitute the Keeper of the Rulers Seal or arbitrarily expand all offices.","false","0","0","1112.6","public administration manager","https://emasco.mohr.gov.my/masco/1112-01","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M112104","112104","Chief Technical Officer","M112104","112104","Chief Technical Officer","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.3","chief technology officer","https://emasco.mohr.gov.my/masco/1121-04","317","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317","","","false"
"M121101","121101","Budgeting/Financial Accounting Manager","M121104","121104","Budget Manager","retained","reviewed_functional_equivalent","medium","Budget planning, forecasting and expenditure control are the stated core duties; Budget Manager is the 2020 counterpart. Financial-accounting wording remains in the source-title audit.","true","1","1","1211.1.1","accounting manager","https://emasco.mohr.gov.my/masco/1211-01","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121102","121102","Audit and Risk Management Manager","M121106","121106","Audit and Risk Management Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2412.3","corporate risk manager","https://emasco.mohr.gov.my/masco/1211-02","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121103","121103","Credit Manager","M121107","121107","Credit Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","3312.3","credit manager","https://emasco.mohr.gov.my/masco/1211-03","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121104","121104","Insurance Manager","M121108","121108","Insurance Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1346.4","insurance agency manager","https://emasco.mohr.gov.my/masco/1211-04","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121105","121105","Fund/Portfolio Manager","M121109","121109","Fund Manager","retained","reviewed_functional_equivalent","medium","Fund and portfolio management denote the same investment-fund management occupation.","true","1","1","2412.7","investment fund manager","https://emasco.mohr.gov.my/masco/1211-05","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121107","121107","Tax Manager","M121114","121114","Tax Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2411.1.12","tax advisor","https://emasco.mohr.gov.my/masco/1211-07","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121108","121108","Claims Manager","M121115","121115","Claim Manager","retained","title_variant","high","Same occupational identity after word-order, singular/plural, spelling, acronym-position or explicit competent-person title-wrapper variation. Preserve the official 2020 printed title.","true","1","1","1346.5","insurance claims manager","https://emasco.mohr.gov.my/masco/1211-08","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121109","121109","Actuarial Valuation Manager","M121123","121123","Actuarial Valuation Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","2120.1","actuarial consultant","https://emasco.mohr.gov.my/masco/1211-09","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121111","121111","Transfer Pricing Manager","","","","excluded","no_verified_2020_equivalent","not_established","Transfer Pricing Consultant exists in 2020, but no equivalent managerial occupation was verified; a consultant is not silently substituted for a manager.","false","0","0","2411.1.12","tax advisor","https://emasco.mohr.gov.my/masco/1211-11","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
"M121202","121202","Occupational Safety and Health Manager","M121205","121205","Occupational Safety and Health Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1213.7","health safety and environmental manager","https://emasco.mohr.gov.my/masco/1212-02","318","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318","","","false"
"M121404","121404","Supply Chain and Logistics Management Manager","M121411","121411","Supply Chain Manager","retained","combined_title_split","medium","Current title explicitly combines supply-chain and logistics management; retain the two printed 2020 identities.","true","1","2","1324.8","supply chain manager","https://emasco.mohr.gov.my/masco/1214-04","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","","","false"
"M121404","121404","Supply Chain and Logistics Management Manager","M132405","132405","Logistics Manager","retained","combined_title_split","medium","Current title explicitly combines supply-chain and logistics management; retain the two printed 2020 identities.","true","1","2","1324.8","supply chain manager","https://emasco.mohr.gov.my/masco/1214-04","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","","","false"
"M121408","121408","Technology Manager","M121416","121416","Technology Manager","retained","exact_normalized_title","high","Exact occupation title after case, spacing and punctuation normalization. Numeric code equality was not used as proof of identity.","true","1","1","1330.5","ICT operations manager","https://emasco.mohr.gov.my/masco/1214-08","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","","","false"
"M121409","121409","Chief Business Officer","","","","excluded","no_verified_2020_equivalent","not_established","No Chief Business Officer entry or unambiguous same-level identity was verified; CEO and compliance officer are different roles.","false","0","0","1120.3","chief executive officer","https://emasco.mohr.gov.my/masco/1214-09","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf","","","false"
