employer_id,name,search_status,has_report,report_year,report_url,recognition_search_status,no_report_zero_rule_applied,search_completion_note
1155,Malayan Banking Berhad,report_located_and_reviewed,True,2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,positive_match_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
1023,CIMB Group Holdings Berhad,report_located_and_reviewed,True,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
1295,Public Bank Berhad,report_located_and_reviewed,True,2023,https://www.publicbankgroup.com/media/lfzbm2ru/2023-sustainability-report.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
1066,RHB Bank Berhad,report_located_and_reviewed,True,2024,https://www.rhbgroup.com/-/media/rhb-annual-report/2024/download/RHB-SR2024.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
5819,Hong Leong Bank Berhad,report_located_and_reviewed,True,2024,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/About-Us/Investor-Relations/agm/2024/annual-report/hlb-annual-report-2024.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
1015,AMMB Holdings Berhad,report_located_and_reviewed,True,2024,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/sustainabilityreport2024.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
1163,Allianz Malaysia Berhad,report_located_and_reviewed,True,2024,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2025/AllianzMalaysiaBerhad_IAR24.pdf,positive_match_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
5211,Sunway Berhad,report_located_and_reviewed,True,2024,https://sustainability.sunway.com.my/Interactive-PDF/Sunway-Sustainability-Report-2024.pdf,positive_match_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
4197,Sime Darby Berhad,report_located_and_reviewed,True,2024,https://www.simedarby.com/sites/default/files/annualreport-pdf/simedarby_berhad_ar_2024_interactive_4.24pm.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
5288,Sime Darby Property Berhad,report_located_and_reviewed,True,2025,https://www.simedarbyproperty.com/sites/default/files/2026-04/SDP%20SR2025%20%28Mobile%29.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
1961,IOI Corporation Berhad,report_located_and_reviewed,True,2025,https://www.ioigroup.com/integrated-report/sr/2025/pdf/IOIG_SR25_Fullbook%28Single%20Page%29.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
5249,IOI Properties Group Berhad,report_located_and_reviewed,True,2025,https://files.ioiproperties.com.my/dsites/s3fs-public/annual-report/file/%5BINTERACTIVE%20PDF%5D%20IOIPG%20IAR2025_06102025_0.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
5398,Gamuda Berhad,report_located_and_reviewed,True,2024,https://gamuda.listedcompany.com/newsroom/GAMUDA_IR2024_%28Page_58_to_Page_175%29_20241227.pdf,not_verified,False,"Official sustainability, integrated or annual report located and reviewed. After the completed search, unsupported D7 pillars are scored 0 under the user-approved 2026-08-27 zero-fill policy; raw undisclosed facts remain blank."
