role_id,masco_task_id,task,remote_task_pre_rating,remote_rule_evidence,ai_task_pre_rating,ai_rule_evidence,rating_method,rater_1,rater_1_rating,rater_2,rater_2_rating,reconciled_rating,review_status
R01,MASCO_2512_01,"studying, analysing and evaluating requirements for software applications and operating systems.",remote_capable,computer/software/data work; information/writing/design work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_02,"studying, designing and developing computer software systems.",remote_capable,computer/software/data work; information/writing/design work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_03,consulting with engineering staff to evaluate interfaces between hardware and software.,remote_capable,computer/software/data work; phone/email/advisory work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_04,developing and directing software testing and procedure validation.,remote_capable,computer/software/data work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_05,"modifying existing software to correct errors, to adapt it to new hardware or to upgrade interfaces and improve performance; FESSIONALS.",remote_capable,computer/software/data work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_06,directing software programming and development of documentation.,remote_capable,computer/software/data work; information/writing/design work,ai_exposable,writing/editing/drafting; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_07,"assessing, developing, upgrading and documenting maintenance procedures for operating systems, communication environments and application software.",remote_capable,computer/software/data work; information/writing/design work; phone/email/advisory work,ai_exposable,writing/editing/drafting; analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_08,consulting with customers concerning maintenance of software system; and.,remote_capable,computer/software/data work; phone/email/advisory work,ai_exposable,analysis/coding/content generation,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R01,MASCO_2512_09,enhancing knowledge and coordinating work performance.,mixed_or_unclear,No decisive published-rule keyword; human review required.,low_or_unclear_exposure,No explicit routine information-work signal; human review required.,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
R02,MASCO_2524_01,"preparing documentation to outline data sources, models and algorithms used and developed.",remote_capable,computer/software/data work; information/writing/design work,ai_exposable,writing/editing/drafting; data/calculation/routine processing,transparent keyword pre-rating implementing the brief's published task rules,,,,,,pending_two_independent_human_raters
