source_id,companies,symbols,target_sectors,evidence_role,source_title_year,source_url,source_page,evidence_status,source_type,source_tier,local_snapshot,download_status,http_status,final_url,content_type,bytes,sha256,pages,retrieved_at,retrieval_note
SRC-001,Gamuda Berhad,GAMUDA,Construction,Row evidence,Gamuda ESG Impact Report 2025,https://gamuda.listedcompany.com/misc/esg_impact_report_2025.pdf,"53, 154",Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_001_Gamuda_Berhad.pdf,downloaded,,https://gamuda.listedcompany.com/misc/esg_impact_report_2025.pdf,application/pdf,48932764,fdff25d0675c100cd00e3060dceeadf12d01e1944bbcd24d4236c77918f97d8c,87,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-002,Sunway Construction Group Berhad,SUNCON,Construction,Row evidence,Sunway Construction Integrated Annual Report 2025,https://ir2.chartnexus.com/suncon/doc/ar/ar2025.pdf,342,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_002_Sunway_Construction_Group_Berhad.pdf,downloaded,,https://ir2.chartnexus.com/suncon/doc/ar/ar2025.pdf,application/pdf,11661966,5c2dbc3e0f7136d06170d55ef1fb9268a4908a586286ca46c8e1383c2b088441,193,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-003,IJM Corporation Berhad,IJM,Construction,Row evidence,IJM Corporation Integrated Annual Report 2025,https://www.ijm.com/wp-content/themes/ijm.2025/pdf/Social%20FY25.pdf,215,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_003_IJM_Corporation_Berhad.pdf,downloaded,,https://www.ijm.com/wp-content/themes/ijm.2025/pdf/Social%20FY25.pdf,application/pdf,1942125,ee250501e373d38449741408083ee84e2fae1f176993e823a180ce820a088a5a,25,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-004,WCT Holdings Berhad,WCT,Construction,Row evidence,WCT Holdings Annual Report 2025,https://www.wct.com.my/annual/wct_annual_2025.pdf,116,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_004_WCT_Holdings_Berhad.pdf,downloaded,,https://www.wct.com.my/annual/wct_annual_2025.pdf,application/pdf,7629148,7527a03d1036ba010882dc0373be1ee896a0f3d29c8e3e1f4e139f66ac5b4241,324,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-005,AME Elite Consortium Berhad | AME Real Estate Investment Trust,AME | AMEREIT,Construction | Real Estate Investment Trusts,Row evidence,AME Elite Consortium Annual Report 2025 | AME Sustainability Statement 2025,https://ame-elite.investor.net.my/wp-content/uploads/2025/07/AME-Sustainability-Statement-2025.pdf,66,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_005_AME_Elite_Consortium_Berhad.pdf,downloaded,,https://ame-elite.investor.net.my/wp-content/uploads/2025/07/AME-Sustainability-Statement-2025.pdf,application/pdf,4212097,d7b4be2305a424fb8a69d2de6372095b402edde22804e4264c0c642d29251e3c,58,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-006,JAKS Resources Berhad,JAKS,Construction,Row evidence,JAKS Resources Berhad Annual Report 2025,https://www.insage.com.my/ir/cmn/downloading.aspx?sCompanyCode=JAKS&sFileName=26120000067458&sReportType=AR,73-74,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_006_JAKS_Resources_Berhad.pdf,downloaded,,https://www.insage.com.my/ir/cmn/downloading.aspx?sCompanyCode=JAKS&sFileName=26120000067458&sReportType=AR,application/pdf,4180317,63444b3566c9f72ddf4b2fbdfc62caa6f069cdc8969520ad8aeeb7e1d0ffb340,285,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-007,Protasco Berhad,PRTASCO,Construction,Row evidence,Protasco Berhad Annual Report 2025,https://www.protasco.com.my/investors-governance/investors-reports,98,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_007_Protasco_Berhad.pdf,downloaded,,https://www.protasco.com.my/investors-governance/investors-reports,application/pdf,7804074,a07a020c5ef15d2be48d0eb249723f4dd08b4719b5c9a5f1f6415695d36130cb,328,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-008,Mudajaya Group Berhad,MUDAJYA,Construction,Row evidence,Mudajaya Annual Report 2024,https://www.mudajaya.com/wp-content/uploads/2025/05/Mudajaya_AR2024_Bursa.pdf,117,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_008_Mudajaya_Group_Berhad.pdf,downloaded,,https://www.mudajaya.com/wp-content/uploads/2025/05/Mudajaya_AR2024_Bursa.pdf,application/pdf,3586673,04b5a37c67a4f2f2e157dd0c98319f7bec22accb877609f8685a61a78d12c2f3,253,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-009,Cheeding Holdings Berhad,CHEEDING,Construction | Utilities,Row evidence,Cheeding Annual Report 2026,https://financialfilings.com/filings/cheeding-holdings-berhad/annual-report/2026/49847112/,Employee Welfare & Benefits / CSI 1 of 3,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_009_Cheeding_Holdings_Berhad.pdf,downloaded,,https://financialfilings.com/filings/cheeding-holdings-berhad/annual-report/2026/49847112/,application/pdf,2546234,542803d51d77e01b43e47e781d2192f12cd4406dc9b4d41fd275f24fe8252ee0,177,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-010,Econpile Holdings Berhad,ECONBHD,Construction,Row evidence,Econpile Annual Report 2025,https://ir.chartnexus.com/econpile/docs/ar/2025.pdf,31,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_010_Econpile_Holdings_Berhad.pdf,downloaded,,https://ir.chartnexus.com/econpile/docs/ar/2025.pdf,application/pdf,3715577,4a2d465fcd597acadf10f5959f531378e5aeaf37e894efc4f0e6288b34e20d3e,131,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-011,Gabungan AQRS Berhad,GBGAQRS,Construction,Row evidence,Gabungan AQRS Annual Report 2024,https://cdn1.i3investor.com/my/files/st88k/5226_GBGAQRS/annual/2024-06-30/5226_GBGAQRS_AnnualReport_2024-06-30_GBGAQRSAR2024Part2_1755750368.pdf,83,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_011_Gabungan_AQRS_Berhad.pdf,downloaded,,https://cdn1.i3investor.com/my/files/st88k/5226_GBGAQRS/annual/2024-06-30/5226_GBGAQRS_AnnualReport_2024-06-30_GBGAQRSAR2024Part2_1755750368.pdf,application/pdf,1810482,320ec3e1ce8260f29fc3a730b265c7b416da6d52ed18bcc94ec7c96921bf215c,58,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-012,Kumpulan Kitacon Berhad,KITACON,Construction,Row evidence,Kitacon Annual Report 2023,https://cdn1.i3investor.com/my/files/st88k/5310_KITACON/annual/2023-12-31/5310_KITACON_AnnualReport_2023-12-31_Kitacon_AR2023FINAL_1318121755.pdf,42-44,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_012_Kumpulan_Kitacon_Berhad.pdf,downloaded,,https://cdn1.i3investor.com/my/files/st88k/5310_KITACON/annual/2023-12-31/5310_KITACON_AnnualReport_2023-12-31_Kitacon_AR2023FINAL_1318121755.pdf,application/pdf,1952089,8a6216ce4ed5dbde4c2048891a85b34a5565e472c301e7467e2dd51f8c1ebd99,140,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-013,Ahmad Zaki Resources Berhad,AZRB,Construction,Row evidence,AZRB Annual Report 2023,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20231103/MYX/MYX_3397967_229563.pdf,59,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_013_Ahmad_Zaki_Resources_Berhad.pdf,downloaded,,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20231103/MYX/MYX_3397967_229563.pdf,application/pdf,2910883,a352eda893b2a75f6f3772bc464f4249ce066fde247effe80e11ef64270bd12d,70,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-014,MGB Berhad,MGB,Construction,Row evidence,MGB Annual Report 2024,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3549240_242061.pdf,105,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_014_MGB_Berhad.pdf,downloaded,,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3549240_242061.pdf,application/pdf,1273666,0692a0f610d8dddb9e95afd7ce762c3db6794d0474bba8789ac68ae53bf3783f,180,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-015,FBG Holdings Berhad,FBG,Construction,Row evidence,FBG Holdings Annual Report 2024,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=25303000064511&sReportType=AR,74,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_015_FBG_Holdings_Berhad.pdf,downloaded,,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=25303000064511&sReportType=AR,application/pdf,7126341,c15775a89b1fe0c677729e63fe239cfa224bd1af65f22102d0c6485af6c7bb34,271,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-016,Widad Group Berhad,WIDAD,Construction,Row evidence,Widad Annual Report 2024,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3550303_242741.pdf,66,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_016_Widad_Group_Berhad.pdf,downloaded,,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3550303_242741.pdf,application/pdf,2926017,791b1e94cd3587c5a1696fa120decb12d3046d533d18442a354fb736421e52b3,201,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-017,Nestcon Berhad,NESTCON,Construction,Row evidence,Nestcon Annual Report 2025,https://www.insage.com.my/Upload/Docs/NESTCON/Nestcon%20Annual%20Report%202025.pdf,50,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_017_Nestcon_Berhad.pdf,downloaded,,https://www.insage.com.my/Upload/Docs/NESTCON/Nestcon%20Annual%20Report%202025.pdf,application/pdf,2802104,826518478c5e02923a18b5bd37ab236302ef5e8cc95d292bfc5a9b7f34b29fa4,176,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-018,Haily Group Berhad,HAILY,Construction,Row evidence,Haily Annual Report 2024,https://haily.my/material/documents/5th-agm-docs/Haily%20Group%20Berhads%20Annual%20Report%202024%20%28Part%201%29.pdf,Sustainability Statement – Employee Management,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_018_Haily_Group_Berhad.pdf,downloaded,,https://haily.my/material/documents/5th-agm-docs/Haily%20Group%20Berhads%20Annual%20Report%202024%20%28Part%201%29.pdf,application/pdf,2892384,ce5888f50d2403525215b2e440442d1a0d7e4b23334e6d207132cbe03a845ab5,89,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-019,Bina Darulaman Berhad,BDB,Construction,Row evidence,BDB Annual Report 2023,https://bdb.com.my/wp-content/uploads/2024/06/BDB-AR2023-060624.pdf,129,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_019_Bina_Darulaman_Berhad.pdf,downloaded,,https://bdb.com.my/wp-content/uploads/2024/06/BDB-AR2023-060624.pdf,application/pdf,43962455,ad5d899eea5248137e61461dd7e47e779c3dd24af93fddffce7ffdc64fb1f602,264,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
SRC-020,HSS Engineers Berhad,HSSEB,Construction,Row evidence,HSS Sustainability Report 2024,https://www.hssgroup.com.my/wp-content/uploads/2025/09/HSS-Sustainability-Report-2024.pdf,61,Report evidence completed,"Official company, Bursa, or listed-company report citation",Primary,SOURCE_FILES/SRC_020_HSS_Engineers_Berhad.pdf,downloaded,,https://www.hssgroup.com.my/wp-content/uploads/2025/09/HSS-Sustainability-Report-2024.pdf,application/pdf,3715116,3437abb295ecb01df82bcaaf34833a7f989fda3e6e21db2be14bf2860485fa4a,32,2026-09-20T05:29:51Z,Existing Iteration 3 PDF validated and retained on resumed run.
