role_id,role_title,masco_2020_code,jobhop_isco08_target_group,anchor_esco_code,anchor_esco_title,official_onet_code,jobhop_records_in_group,jobhop_resumes_in_group,latest_resume_targets_in_group,mapping_method,review_status
R01,Software Developer,2512,2512,2512.4,software developer,15-1252.00,101,99,92,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R02,Data Analyst,2524,2511,2511.3,data analyst,15-2051.01,139,136,112,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R03,Human Resources Officer,2423,2423,2423.3,human resources officer,13-1071.00,272,257,220,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R04,Online Marketing Specialist,2431,2431,2431.10.4,online marketer,13-1161.01,791,758,643,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R05,Translator,2833,2643,2643.6,translator,27-3091.00,162,155,106,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R06,Graphic Designer,2543,2166,2166.9,graphic designer,27-1024.00,530,480,277,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R07,Accounting & Bookkeeping Clerk,4311,4311,4311.1,billing clerk,43-3031.00,534,527,452,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R08,Customer Contact Centre Officer,4222,4222,4222.1,customer contact centre information clerk,43-4051.00,200,196,165,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R09,Secretary / Administrative Assistant,4121,4120,4120.1,secretary,43-6014.00,299,294,243,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
R10,Tutor,2311,2359,2359.14,tutor,25-3041.00,242,239,164,ISCO-08 unit-group target mapping; MASCO national code retained separately,official ESCO-O*NET row verified; role-group scope pending domain review
