evidence_id,employer_id,employer_name,pillar,fact_field,extracted_value,unit,source_year,source_url,page_or_section,evidence_paraphrase,verification_status,reviewer,review_date
EV0001,0097,ViTrox Corporation Berhad,gender_equity,women_workforce_pct,32.3,%,2025,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,"p. 92, A Caring Employer / Gender Diversity; Sustainability Highlights","ViTrox reports women as 32.3% of the workforce, 29.3% of managerial positions and 40% of the Board in 2025.",verified,Charles Yi,2026-08-27
EV0002,0097,ViTrox Corporation Berhad,gender_equity,women_management_pct,29.3,%,2025,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,"p. 92, A Caring Employer / Gender Diversity; Sustainability Highlights","ViTrox reports women as 32.3% of the workforce, 29.3% of managerial positions and 40% of the Board in 2025.",verified,Charles Yi,2026-08-27
EV0003,0097,ViTrox Corporation Berhad,gender_equity,women_board_pct,40,%,2025,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,"p. 92, A Caring Employer / Gender Diversity; Sustainability Highlights","ViTrox reports women as 32.3% of the workforce, 29.3% of managerial positions and 40% of the Board in 2025.",verified,Charles Yi,2026-08-27
EV0004,0166,Inari Amertron Berhad,gender_equity,women_workforce_pct,63,%,2025,https://www.inari-amertron.com/wp-content/uploads/2025/10/FY2025-Inari-Annual-Report-2025.pdf,"Workplace / Employee Gender, Diversity and Inclusion",The FY2025 report's gender-distribution chart reports women as 63% of the workforce.,verified,Charles Yi,2026-08-27
EV0005,1015,AMMB Holdings Berhad,policy_flex,childcare_nursing_phased_return,False,boolean,2024,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/sustainabilityreport2024.pdf,139,Parental leave return and retention rates disclosed by gender.,verified,Charles Yi,2026-08-27
EV0006,1023,CIMB Group Holdings Berhad,gender_equity,women_workforce_pct,57,%,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",verified,Charles Yi,2026-08-27
EV0007,1023,CIMB Group Holdings Berhad,gender_equity,women_management_pct,42,%,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",verified,Charles Yi,2026-08-27
EV0008,1023,CIMB Group Holdings Berhad,policy_flex,maternity_days,180,days,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",verified,Charles Yi,2026-08-27
EV0009,1023,CIMB Group Holdings Berhad,policy_flex,paternity_days,30,days,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",verified,Charles Yi,2026-08-27
EV0010,1023,CIMB Group Holdings Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",verified,Charles Yi,2026-08-27
EV0011,1023,CIMB Group Holdings Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",verified,Charles Yi,2026-08-27
EV0012,1066,RHB Bank Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2024,https://www.rhbgroup.com/-/media/rhb-annual-report/2024/download/RHB-SR2024.pdf,"201,255",Parental-leave return data and seven nursing booths; report states women-leadership target.,verified,Charles Yi,2026-08-27
EV0013,1066,RHB Bank Berhad,policy_flex,childcare_nursing_phased_return,True,boolean,2024,https://www.rhbgroup.com/-/media/rhb-annual-report/2024/download/RHB-SR2024.pdf,"201,255",Parental-leave return data and seven nursing booths; report states women-leadership target.,verified,Charles Yi,2026-08-27
EV0014,1155,Malayan Banking Berhad,policy_flex,maternity_days,98,days,2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,"p. 120, Empowering Our People","Maybank discloses 98 days of maternity leave with an extension option, flexible-work arrangements, childcare centres/benefits and equipped nursing rooms.",verified,Charles Yi,2026-08-27
EV0015,1155,Malayan Banking Berhad,policy_flex,flexible_remote_disclosed,True,boolean,2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,"p. 120, Empowering Our People","Maybank discloses 98 days of maternity leave with an extension option, flexible-work arrangements, childcare centres/benefits and equipped nursing rooms.",verified,Charles Yi,2026-08-27
