role_id,skill_id,skill_name,skill_type,importance,source,source_occupation_code,source_element_id,importance_method,curation_note,raw_source_value,normalisation_or_rating_rule,one_line_justification,source_url,review_status
R01,DIGCOMP_3_4,Programming,digital,95,DigComp 2.2,,3.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate and test code; use AI coding tools with review.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate and test code; use AI coding tools with review.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R01,DIGCOMP_5_1,Solving technical problems,digital,90,DigComp 2.2,,5.1,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Diagnose technical faults.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Diagnose technical faults.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R01,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,85,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate AI-generated code and technical information.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate AI-generated code and technical information.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R01,DIGCOMP_4_2,Protecting personal data and privacy,digital,80,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect user and system data.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect user and system data.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R01,DIGCOMP_5_4,Identifying digital competence gaps,digital,65,DigComp 2.2,,5.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Track fast-changing development skills.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Track fast-changing development skills.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R02,DIGCOMP_1_3,"Managing data, information and digital content",digital,95,DigComp 2.2,,1.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Manage structured and unstructured data.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Manage structured and unstructured data.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R02,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,95,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate evidence and AI outputs.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate evidence and AI outputs.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R02,DIGCOMP_3_4,Programming,digital,85,DigComp 2.2,,3.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate analysis pipelines.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Automate analysis pipelines.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R02,DIGCOMP_5_3,Creatively using digital technologies,digital,80,DigComp 2.2,,5.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Use digital tools creatively for analysis.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Use digital tools creatively for analysis.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R02,DIGCOMP_4_2,Protecting personal data and privacy,digital,80,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect confidential data.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect confidential data.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R03,DIGCOMP_4_2,Protecting personal data and privacy,digital,95,DigComp 2.2,,4.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect employee and applicant data.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Protect employee and applicant data.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R03,DIGCOMP_1_3,"Managing data, information and digital content",digital,85,DigComp 2.2,,1.3,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Manage HR records.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Manage HR records.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R03,DIGCOMP_2_4,Collaborating through digital technologies,digital,80,DigComp 2.2,,2.4,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Coordinate recruitment and employee services.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Coordinate recruitment and employee services.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R03,DIGCOMP_1_2,"Evaluating data, information and digital content",digital,75,DigComp 2.2,,1.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate AI-assisted screening outputs.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Evaluate AI-assisted screening outputs.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
R03,DIGCOMP_5_2,Identifying needs and technological responses,digital,65,DigComp 2.2,,5.2,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Select appropriate HR technologies.,,"curated task-relevance rubric; high 80-100, medium 50-70, low 20-40",Select appropriate HR technologies.,https://joint-research-centre.ec.europa.eu/digcomp/digcomp-framework_en,pending_two_rater_reconciliation
