employer_id,name,report_year,report_url,page_or_section,women_workforce_pct,women_management_pct,women_board_pct,maternity_days,paternity_days,flexible_remote_disclosed,childcare_nursing_phased_return,evidence_note,recognition_note,extraction_status
0097,ViTrox Corporation Berhad,2025,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,"p. 92, A Caring Employer / Gender Diversity; Sustainability Highlights",32.3,29.3,40,,,,,"ViTrox reports women as 32.3% of the workforce, 29.3% of managerial positions and 40% of the Board in 2025.",,source_confirmed_second_review_approved
0128,Frontken Corporation Berhad,2025,https://www.insage.com.my/interactiveAR/FRONTKN/interactiveAR2025/,"pp. 23-49, Sustainability Report",,,,,,,,The official 2025 annual report's sustainability section was reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
0166,Inari Amertron Berhad,2025,https://www.inari-amertron.com/wp-content/uploads/2025/10/FY2025-Inari-Annual-Report-2025.pdf,"Workplace / Employee Gender, Diversity and Inclusion",63,,,,,,,The FY2025 report's gender-distribution chart reports women as 63% of the workforce.,,source_confirmed_second_review_approved
0208,Greatech Technology Berhad,2025,https://www.insage.com.my/Upload/Docs/GREATEC/Greatech%20AR2025.pdf,"pp. 37 onward, Sustainability Report",,,,,,,,The official 2025 annual report's sustainability section was reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
1015,AMMB Holdings Berhad,2024,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/sustainabilityreport2024.pdf,139,,,,,,,False,Parental leave return and retention rates disclosed by gender.,,source_confirmed_second_review_approved
1023,CIMB Group Holdings Berhad,2024,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2024/cimb-sustainability-report-2024.pdf,94-97,57,42,,180,30,True,True,"Family-friendly policies, FLEX4ALL, first-child maternity and paternity benefits; women 57% of workforce and 42% of senior leadership.",,source_confirmed_second_review_approved
1066,RHB Bank Berhad,2024,https://www.rhbgroup.com/-/media/rhb-annual-report/2024/download/RHB-SR2024.pdf,"201,255",,,,,,True,True,Parental-leave return data and seven nursing booths; report states women-leadership target.,,source_confirmed_second_review_approved
1155,Malayan Banking Berhad,2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,"p. 120, Empowering Our People",,,,98,,True,True,"Maybank discloses 98 days of maternity leave with an extension option, flexible-work arrangements, childcare centres/benefits and equipped nursing rooms.",,source_confirmed_second_review_approved
1163,Allianz Malaysia Berhad,2024,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2025/AllianzMalaysiaBerhad_IAR24.pdf,73,,,,,,True,False,Ways of Working strategy; 59% of employees identified as hybrid workers.,TalentCorp LAWA 2025 Women at Work & Leadership winner,source_confirmed_second_review_approved
1295,Public Bank Berhad,2023,https://www.publicbankgroup.com/media/lfzbm2ru/2023-sustainability-report.pdf,248,,,,,,True,False,Parental leave metrics and flexible working/extended maternity benefits disclosed; exact duration not scored.,,source_confirmed_second_review_approved
1818,Bursa Malaysia Berhad,2024,https://bursa.listedcompany.com/iar_2024.html,Sustainability Report 2024,,,,,,,True,"Official report archive; family medical benefits are evidenced in the prior sustainability report, but current policy duration not scored.",,source_confirmed_second_review_approved
1961,IOI Corporation Berhad,2025,https://www.ioigroup.com/integrated-report/sr/2025/pdf/IOIG_SR25_Fullbook%28Single%20Page%29.pdf,Gender Equality and Women Empowerment; Women Empowerment Committee,,,,,,,,The report was reviewed and describes a Women Empowerment Committee and equal-opportunity initiatives; no scoreable percentage or policy duration was extracted in this pass.,,source_confirmed_second_review_approved
3026,Dutch Lady Milk Industries Berhad,2025,https://www.dutchlady.com.my/ms/report/integrated-annual-report-2025/,Integrated Annual Report 2025,,,,,,,,The official 2025 integrated annual report was located and reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
3182,Genting Berhad,2025,https://www.genting.com/sustainability-reports,Sustainability Report 2025; Enhancing Workplace Practices,,,,,,True,,Genting's workplace-practice disclosure states that flexible work arrangements are implemented where appropriate to manage workload and excessive-hours risk.,,source_confirmed_second_review_approved
3336,IJM Corporation Berhad,2025,https://www.ijm.com/sites/default/files/annualreport-pdf/arc_ar_2025_1.pdf,"Integrated Annual Report 2025, sustainability and human-capital sections",,,,,,,,The official integrated annual report and its sustainability/human-capital disclosures were reviewed; no scoreable D7 fact was extracted in this pass.,,source_confirmed_second_review_approved
3689,Fraser & Neave Holdings Bhd,2025,https://www.fn.com.my/investors/ar2025/,"FY2025 ESG Scorecard; Employee Safety, Health & Well-being",28,43,,,,True,True,"F&NHB reports 28% women in the workforce and 43% in managerial positions, up to two work-from-home days for eligible employees, lactation facilities and extended maternity support.",,source_confirmed_second_review_approved
3816,MISC Berhad,2024,https://www.miscgroup.com/awcontent/Web/Documents/SustainabilityPerformanceData/Talent-Excellence-Performance-Data-SR24_9-Jul-25.pdf,222,,,,,,,False,"Parental leave take-up, return and 12-month retention disclosed by gender.",,source_confirmed_second_review_approved
4065,PPB Group Berhad,2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,"pp. 20-21, Diversity, equity and inclusion / work-life integration",29.3,42,,,,True,,"Women were 1,891 of 6,455 employees (29.3%, derived from disclosed counts), women held 42% of management roles, and flexible work arrangements were available where work situations permit.",,source_confirmed_second_review_approved
4197,Sime Darby Berhad,2024,https://www.simedarby.com/sites/default/files/annualreport-pdf/simedarby_berhad_ar_2024_interactive_4.24pm.pdf,People section,,,,,,,False,"Report describes women-focused mentorship, coaching and career-development emphasis; policy details not confirmed.",,source_confirmed_second_review_approved
4677,YTL Corporation Berhad,2025,https://www.ytl.com/wp-content/uploads/sites/5/2025/10/YTLGroup_SR_2025.pdf,"p. 76, Employee Benefits and Welfare / Parental Benefits",,,,,,True,True,"The report states that certain business units offer hybrid, remote or flexible hours and that a Mother's Room provides nursing cubicles and changing facilities.",,source_confirmed_second_review_approved
4707,Nestle (Malaysia) Berhad,2024,https://www.nestle.com.my/investors/annual_report,Nestle in Society / careers policy,,45,,126,28,True,True,"Paid parental support, flexible work and breastfeeding support; women hold 45% of managerial positions on current company DEI page.",,source_confirmed_second_review_approved
4863,Telekom Malaysia Berhad,2025,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,213,,35,,98,7,True,True,"Flexible work, on-site childcare, breastfeeding facilities, 98-day maternity and 7-day paternity; 2024 comparator reports 35% women senior management.",,source_confirmed_second_review_approved
