source_id,company,evidence_role,source_title_year,source_url,source_page,source_type,source_tier,retrieval_and_check,notes,local_snapshot,download_status,http_status,final_url,content_type,bytes,sha256,retrieved_at,retrieval_note
SRC-001,CIMB Group Holdings Berhad,Row evidence,CIMB Sustainability Report 2025,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2025/cimb-sustainability-report-2025.pdf,147,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_001_CIMB_Group_Holdings_Berhad.pdf,downloaded,200,https://www.cimb.com/content/dam/cimb/group/documents/investor-relations/annual-reports/2025/cimb-sustainability-report-2025.pdf,application/pdf,10909075,9c9cac290ab17c3f5efc589eed1dc32c248d4bfa2f236e3a7e35db2b24fd1d17,2026-09-10T09:56:18.144Z,Direct PDF retained from this archive run.
SRC-002,Malayan Banking Berhad (Maybank),Row evidence,Maybank Sustainability and Environmental Report 2025,https://maybankfoundation.com/wp-content/uploads/2026/04/maybank-sustainability-and-environmental-report-2025.pdf,120,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,,download_failed,,,,,,2026-09-10T09:56:18.144Z,Timed out after 40000 ms
SRC-003,AMMB Holdings Berhad (AmBank Group),Row evidence,AMMB Holdings Berhad Sustainability Report 2025,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/ammb-sustainability-report-25.pdf,"121, 123, 141-142","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_003_AMMB_Holdings_Berhad_AmBank_Group.pdf,downloaded,200,https://www.ambankgroup.com/docs/ambankgrouplibraries/sustainability/reports/ammb-sustainability-report-25.pdf,application/pdf,4880947,d5bd8be731274d53650bf69f50c6c8d43c36153640af0351e06563091adcee13,2026-09-10T09:56:18.144Z,Direct PDF retained from this archive run.
SRC-004,Allianz Malaysia Berhad,Row evidence,Allianz Malaysia Berhad Integrated Annual Report 2025,https://www.allianz.com.my/content/dam/onemarketing/azmb/wwwallianzcommy/pdf/investor-updates/2026/AllianzMalaysiaBerhad_IAR25.pdf,87,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,,download_failed,,,,,,2026-09-10T09:56:18.144Z,HTTP 403
SRC-005,Kenanga Investment Bank Berhad,Row evidence,Kenanga Investment Bank Berhad Sustainability Report 2025,https://www.kenanga.com.my/wp-content/themes/kenanga/sustainability-bitesite-2026/src/document/Kenanga-SR25.pdf,"107, 123","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_005_Kenanga_Investment_Bank_Berhad.pdf,downloaded,200,https://www.kenanga.com.my/wp-content/themes/kenanga/sustainability-bitesite-2026/src/document/Kenanga-SR25.pdf,application/pdf,16136586,98119e498e6ff3ea96a23095ea8e8c8299edbbf9f86fbe9c2ae3494bea2e4217,2026-09-10T09:56:18.144Z,Direct PDF retained from this archive run.
SRC-006,Alliance Bank Malaysia Berhad,Row evidence,Alliance Bank Malaysia Berhad Sustainability Statement FY2026,https://www.alliancebank.com.my/Alliance/media/ABMB/IR-AnnualReports/2026/ar2026_sustainability-statement.pdf,"149, 165 (PDF pp.95, 111)","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_006_Alliance_Bank_Malaysia_Berhad.pdf,downloaded,200,https://www.alliancebank.com.my/Alliance/media/ABMB/IR-AnnualReports/2026/ar2026_sustainability-statement.pdf,application/pdf,4358185,485eee9caffb27d41a9795b7597eff279062601c140a443413221f5017b4330f,2026-09-10T09:56:18.144Z,Direct PDF retained from this archive run.
SRC-007,Syarikat Takaful Malaysia Keluarga Berhad,Row evidence,Integrated Annual Report 2025,https://www.takaful-malaysia.com.my/wp-content/uploads/2023/04/STMKB-IAR2025_FULL-DRAFT_21.04.2026-FINAL.pdf,99,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,,download_failed,,,,,,2026-09-10T09:56:18.144Z,Timed out after 40000 ms
SRC-008,RHB Bank Berhad,Row evidence,RHB Sustainability Report 2025,https://www.rhbgroup.com/-/media/Assets/Corporate-Website/Document/Supported-Doc/General-Meetings/RHB-Sustainability-Report-2025.pdf,"99-100, 103","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_008_RHB_Bank_Berhad.pdf,downloaded,200,https://www.rhbgroup.com/-/media/Assets/Corporate-Website/Document/Supported-Doc/General-Meetings/RHB-Sustainability-Report-2025.pdf,application/pdf,7284916,d2e2b1746cc5f5854db42d8be5c3c0826e937789ae2a56d59229e3af149bde6f,2026-09-10T09:56:18.144Z,Direct PDF retained from this archive run.
SRC-009,AEON Credit Service (M) Berhad,Row evidence,Analyst Presentation Q4 FYE2026,https://aeoncredit.com.my/wp-content/uploads/AEON-Credit-Analyst-Presentation-Q4FYE2026.pdf,13,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_009_AEON_Credit_Service_M_Berhad.pdf,downloaded,200,https://aeoncredit.com.my/wp-content/uploads/AEON-Credit-Analyst-Presentation-Q4FYE2026.pdf,application/pdf,2787820,4a8588a0aca5a8c297ccd2b6016dcc19a1a55d915d579620e588c51840828026,2026-09-10T09:56:18.161Z,Direct PDF retained from this archive run.
SRC-010,Public Bank Berhad,Row evidence,Public Bank Careers - Career With Us (official secondary source; accessed 2026-09-10),https://www.publicbankgroup.com/careers/public-bank-berhad-career-with-us/,Web - Employee Benefits,Official company web/careers page,Secondary - explicitly flagged,Latest source identified and qualifying passage captured,Secondary source use is visible in the row title and remains QA-gated,,url_only_no_snapshot,,,,,,2026-09-10T09:56:18.162Z,Web page not archived; web scraping is prohibited for this package.
SRC-011,Telekom Malaysia Berhad,Row evidence,Telekom Malaysia Berhad Integrated Annual Report 2025 - Sustainability Statement Part 2,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,"213, 215","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_011_Telekom_Malaysia_Berhad.pdf,downloaded,200,https://www.tm.com.my/sites/default/files/2026-05/%5BSS%20-%20Part%202%2C%20Except%20SPD%5D%20Telekom%20Malaysia%20Berhad%20IAR25.pdf,application/pdf,4380146,4906e36929e2f31c4480f79fc66e30a5260819e072c54a6dc0a2f88ac63a2e57,2026-09-10T09:56:18.162Z,Direct PDF retained from this archive run.
SRC-012,Inari Amertron Berhad,Row evidence,Inari Annual Report 2025,https://www.inari-amertron.com/wp-content/uploads/2025/10/FY2025-Inari-Annual-Report-2025.pdf,126,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_012_Inari_Amertron_Berhad.pdf,downloaded,200,https://www.inari-amertron.com/wp-content/uploads/2025/10/FY2025-Inari-Annual-Report-2025.pdf,application/pdf,13293569,f2bce961ece85ba5b9256bfd134c0d55a73bd8071992ad66979e9ead1aa1039f,2026-09-10T09:56:18.165Z,Direct PDF retained from this archive run.
SRC-013,CelcomDigi Berhad,Row evidence,CelcomDigi Integrated Annual Report 2025 - Part 1,https://celcomdigi.listedcompany.com/newsroom/CelcomDigi_AR25_Bursa_Part1.pdf,86 (PDF p.88),"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_013_CelcomDigi_Berhad.pdf,downloaded,200,https://celcomdigi.listedcompany.com/newsroom/CelcomDigi_AR25_Bursa_Part1.pdf,application/pdf,1889810,4b480cabcc5c2ce1a7b56d35a212d9ea8e45efaeb34f97db68fb35cdc27c4e50,2026-09-10T09:56:18.167Z,Direct PDF retained from this archive run.
SRC-014,CTOS Digital Berhad,Row evidence,CTOS Digital Integrated Annual Report 2025,https://www.insage.com.my/Upload/Docs/CTOS/CTOS%20Digital%20-%20Integrated%20Annual%20Report%202025.pdf.pdf,"120, 136 (PDF pp.121, 137)","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_014_CTOS_Digital_Berhad.pdf,downloaded,200,https://www.insage.com.my/Upload/Docs/CTOS/CTOS%20Digital%20-%20Integrated%20Annual%20Report%202025.pdf.pdf,application/pdf,23105181,35e70897b94713830f24bc70d1daa36f80f2a0280a46ee1f89c00c905cc24418,2026-09-10T09:56:18.171Z,Direct PDF retained from this archive run.
SRC-015,Unisem (M) Berhad,Row evidence,Unisem Sustainability Report 2025,https://www.unisemgroup.com/wp-content/uploads/2026/03/Unisem-M-Berhad-IAR2025-Sustainability-Report-2025.pdf,179,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_015_Unisem_M_Berhad.pdf,downloaded,200,https://www.unisemgroup.com/wp-content/uploads/2026/03/Unisem-M-Berhad-IAR2025-Sustainability-Report-2025.pdf,application/pdf,1336507,3937e62ef0f70cb9e109111eb88283d66d2af6aa773ff8d58872680388d6f0c2,2026-09-10T09:56:18.173Z,Direct PDF retained from this archive run.
SRC-016,Greatech Technology Berhad,Row evidence,Greatech Technology Berhad Annual Report 2025,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=26118000067114&sReportType=AR,79-80,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_016_Greatech_Technology_Berhad.pdf,downloaded,200,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=26118000067114&sReportType=AR,application/pdf,8730548,89c59b27b4f810b8b6c4a2238d0a7c8f5cb84ba7f51ed0ee19db53b8f78bac8c,2026-09-10T09:56:18.176Z,Direct PDF retained from this archive run.
SRC-017,ViTrox Corporation Berhad,Row evidence,ViTrox Sustainability Report 2025,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,Talent Attraction and Retention - Flexible Work Arrangements; Parental Benefits,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_017_ViTrox_Corporation_Berhad.pdf,downloaded,200,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,application/pdf,12782716,db159861a29539585aa6c230bc1904dbd86724aac687eba91ff748caee6bf6a6,2026-09-10T09:56:18.177Z,Direct PDF retained from this archive run.
SRC-018,Axiata Group Berhad,Row evidence,Axiata Integrated Annual Report 2025,https://www.axiata.com/media/0dbo52nk/axiata_integrated_annual_report_2025.pdf,65,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_018_Axiata_Group_Berhad.pdf,downloaded,200,https://www.axiata.com/media/0dbo52nk/axiata_integrated_annual_report_2025.pdf,application/pdf,17092302,4b510760b90880b7672cc71fc0f3caffd89376fb3f0f685feeea167466f5854f,2026-09-10T09:56:18.182Z,
SRC-019,UWC Berhad,Row evidence,UWC Annual Report 2025,https://www.uwcberhad.com.my/wp-content/uploads/2026/01/Annual-Report-2025.pdf,56,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_019_UWC_Berhad.pdf,downloaded,200,https://www.uwcberhad.com.my/wp-content/uploads/2026/01/Annual-Report-2025.pdf,application/pdf,10706060,089f202a09079ad04d78d0423e83e059caf03286810b848dc9031bea4509e854,2026-09-10T09:56:18.187Z,Direct PDF retained from this archive run.
SRC-020,Genetec Technology Berhad,Row evidence,Genetec Annual Report 2025,https://www.genetec.net/wp-content/uploads/2025/11/Genetec_Annual_Report_2025.pdf,33,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_020_Genetec_Technology_Berhad.pdf,downloaded,200,https://www.genetec.net/wp-content/uploads/2025/11/Genetec_Annual_Report_2025.pdf,application/pdf,2892750,1b78fdcf000d452508a0c05d5c5563dc74e374ae23d638917b7f45496ea21769,2026-09-10T09:56:18.191Z,Direct PDF retained from this archive run.
SRC-021,MISC Berhad,Row evidence,MISC Sustainability Report 2025,https://www.insage.com.my/Upload/Docs/MISC/MISC%20Berhad%20-%20Sustainability%20Report%202025_latest.pdf,292-293,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_021_MISC_Berhad.pdf,downloaded,200,https://www.insage.com.my/Upload/Docs/MISC/MISC%20Berhad%20-%20Sustainability%20Report%202025_latest.pdf,application/pdf,48061719,183c4ed7246dd8f9dc3dbc9db8ce1cbc2275f7dd86b5b4cd26f2a514b062e134,2026-09-10T09:56:18.193Z,Direct PDF retained from this archive run.
SRC-022,Deleum Berhad,Row evidence,Deleum Berhad Annual Report 2025,https://deleum.com/images/annualReport/AGM2026/%5BWEBSITE%5D%20Deleum%20AR2025.pdf,85,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_022_Deleum_Berhad.pdf,downloaded,200,https://deleum.com/images/annualReport/AGM2026/%5BWEBSITE%5D%20Deleum%20AR2025.pdf,application/pdf,9218789,7262c21f52df0a85336caf4a67c90c7e47a3c0b378cdf5bb18efb0dff0e1d296,2026-09-10T09:56:18.199Z,Direct PDF retained from this archive run.
SRC-023,PETRONAS Gas Berhad,Row evidence,PETRONAS Gas Berhad Sustainability Report 2025,https://www.petronas.com/pgb/integrated-report-2025/assets/pdf/PGB%20Sustainability%20Report%202025.pdf,113,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_023_PETRONAS_Gas_Berhad.pdf,downloaded,200,https://www.petronas.com/pgb/integrated-report-2025/assets/pdf/PGB%20Sustainability%20Report%202025.pdf,application/pdf,18114995,12cdb9abe11785f2952cf8dc90b3bed3f3e7b639c52f2b824a34c97f12b2b65d,2026-09-10T09:56:18.207Z,Direct PDF retained from this archive run.
SRC-024,Yinson Holdings Berhad,Row evidence,Yinson Integrated Annual Report 2026,https://ar.yinson.com/2026/document/full-integrated-annual-report-2026.pdf,"95, 317 (PDF pp.91, 313)","Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_024_Yinson_Holdings_Berhad.pdf,downloaded,200,https://ar.yinson.com/2026/document/full-integrated-annual-report-2026.pdf,application/pdf,7672482,1968564d1ced9b3a10b38441253b2cd2f34830c550c70977ebd648edda03a4db,2026-09-10T09:56:18.213Z,Direct PDF retained from this archive run.
SRC-025,Salcon Berhad,Row evidence,Salcon Integrated Annual Report 2025,https://salcon.listedcompany.com/misc/iar2025.pdf,89,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_025_Salcon_Berhad.pdf,downloaded,200,https://salcon.listedcompany.com/misc/iar2025.pdf,application/pdf,51792392,7c4e2505c9c4cf97293d97a08efb92361d50b8708bf14d45e84aef1ce0d3857b,2026-09-10T09:56:18.218Z,Direct PDF retained from this archive run.
SRC-026,Solarvest Holdings Berhad,Row evidence,Solarvest Annual Report 2025,https://solarvest.com/wp-content/uploads/2025/07/Solarvest-Annual-Report-2025.pdf,124,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_026_Solarvest_Holdings_Berhad.pdf,downloaded,200,https://solarvest.com/wp-content/uploads/2025/07/Solarvest-Annual-Report-2025.pdf,application/pdf,13908631,31d035081fde057bca65aa0a6b4a0342335fabec459e91750ae49f22145e6d25,2026-09-10T09:56:18.222Z,Direct PDF retained from this archive run.
SRC-027,Ranhill Utilities Berhad,Row evidence,Ranhill Sustainability Report 2025,https://www.insage.com.my/Upload/Docs/RANHILL/Ranhill%20Sustainability%20Report%202025.pdf,60,"Official company, Bursa, or listed-company report",Primary,Latest source identified and qualifying passage captured,Current/latest source only,SOURCE_FILES/SRC_027_Ranhill_Utilities_Berhad.pdf,downloaded,200,https://www.insage.com.my/Upload/Docs/RANHILL/Ranhill%20Sustainability%20Report%202025.pdf,application/pdf,11292501,100121f3de2197ea873c61f97895dfc6119a3dfcb9108743862e02fe6ca01027,2026-09-10T09:56:18.231Z,Direct PDF retained from this archive run.
