link_id,role_id,masco_code,role_title,qa_id,qa_source_id,qa_topic,question_text,relevance_rule,license_id,source_url,review_status
M151101-OQ01,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-30S-103,GITHUB-30SECONDS-INTERVIEWS,security; javascript,What is a cross-site scripting attack (XSS) and how do you prevent it?,"Role-title keyword matched global Q&A topic: security, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151101-OQ02,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-001,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,What was your most memorable debugging experience? Can be any language.,"Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151101-OQ03,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-002,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"What tools are in your toolkit with regards to debugging? How do you normally debug: a) your own code, b) someone else's code (or foreign code bases). Ideally cover Python debugging and a compiled language (C/C++ ideal).","Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151101-OQ04,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-003,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"Tell us about a chunk of code that you've written before that you're particularly fond of. What do you like about it? (e.g. elegant, evil, clever, simple) (This is along the lines of the 'http://stilldrinking.org/programming-sucks -> All Code is bad' section.)","Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151101-OQ05,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-004,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,Tell us about a past project that you were particularly proud/fond of from a technical perspective. What did you like about it technically?,"Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151101-OQ06,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-005,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,Worst code base you've ever come across? What were some of the issues? How did you rectify them?,"Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151101-OQ07,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-006,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"Tell us about a project that required a novel, thinking-out-side-of-the-box sort of solution? What did you come up with? Why was it better than the alternatives?","Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151101-OQ08,M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,OPEN-CONT-007,GITHUB-CONTINUUM-INTERVIEW-QUESTIONS,Software Engineering Questions,"Describe your ideal development environment (platform, tools, editor, IDEs, compilers, language, database vendor, etc).","Role-title keyword matched global Q&A topic: security, software engineering questions",CC-BY-SA-4.0-CONTINUUM,https://github.com/ContinuumIO/interview-questions/tree/a22ec7982062ce5c3bad162495452e5738ae3220,human_relevance_and_currentness_review_required
M151103-OQ01,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-005,GITHUB-30SECONDS-INTERVIEWS,javascript,"Create a function `batches` that returns the maximum number of whole batches that can be cooked from a recipe. ```js /** It accepts two objects as arguments: the first object is the recipe for the food, while the second object is the available ingredients. Each ingredient's value is a number representing how many units there are. `batches(recipe, available)` */ // 0 batches can be made batches( { milk: 100, butter: 50, flour: 5 }, { milk: 132, butter: 48, flour: 51 } ) batches( { milk: 100, flour: 4, sugar: 10, butter: 5 }, { milk: 1288, flour: 9, sugar: 95 } ) // 1 batch can be made batches( { milk: 100, butter: 50, cheese: 10 }, { milk: 198, butter: 52, cheese: 10 } ) // 2 batches can be made batches( { milk: 2, sugar: 40, butter: 20 }, { milk: 5, sugar: 120, butter: 500 } ) ```","Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
M151103-OQ02,M151103,151103,Village Community Center Manager (Information Technology),OPEN-30S-007,GITHUB-30SECONDS-INTERVIEWS,javascript,What is Big O Notation?,"Role-title keyword matched global Q&A topic: javascript, node, software engineering questions",MIT-30SECONDS,https://github.com/Chalarangelo/30-seconds-of-interviews/tree/da235b6185721161b7ebc413075b76dc70339ccf,human_relevance_and_currentness_review_required
